,Store,Dept,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment,Size,Year,Month,Day,IsHoliday_True,Type_B,Type_C
Store,1.0,0.02401052862544265,-0.08373239847901602,-0.05225118260080205,0.06498436061096875,-0.21094904776701456,0.2086706011603626,-0.18288146007993056,0.0029970230255986267,0.001010585733931111,-1.4756486034623402e-05,-0.00054798800339438,-0.23346138503620356,0.4390041431180612
Dept,0.02401052862544265,1.0,0.14331917192122756,0.004382554083852472,0.003514485677147442,-0.007482905965909299,0.007874440330007556,-0.003021685965445864,0.003687654754994673,0.0008940710829146067,-0.0006644576717813757,0.0009057611129098073,-0.02991971041809211,0.02834418033743535
Weekly_Sales,-0.08373239847901602,0.14331917192122756,1.0,0.0005759416764743987,0.0015024760691446527,-0.022806909492170995,-0.02532295846343515,0.2525898943821441,-0.009287493411989268,0.025577509135969508,-0.007981881532702378,0.007948441889952342,-0.13470514323363747,-0.09905408461288266
Temperature,-0.05225118260080205,0.004382554083852472,0.0005759416764743987,1.0,0.14201102704764776,0.18460754424557327,0.09551100230231004,-0.05928666800242978,0.06647589322172723,0.23449935434231234,0.025848220889284165,-0.15673015608350577,-0.1077402615697392,0.1357092462020675
Fuel_Price,0.06498436061096875,0.003514485677147442,0.0015024760691446527,0.14201102704764776,1.0,-0.16260900466349512,-0.034937734663283586,0.00446759234859885,0.7803150558551303,-0.042186161240841576,0.02801253613285617,-0.07783904783502991,0.03737217582264647,0.0013693936337125792
CPI,-0.21094904776701456,-0.007482905965909299,-0.022806909492170995,0.18460754424557327,-0.16260900466349512,1.0,-0.30019014326985277,-0.0033070856768737237,0.07433460061807488,0.005130268214701764,0.0027014411462722627,-0.0019340202618821042,-0.08188305909120978,-0.006557060094873528
Unemployment,0.2086706011603626,0.007874440330007556,-0.02532295846343515,0.09551100230231004,-0.034937734663283586,-0.30019014326985277,1.0,-0.0680986217211723,-0.23675413109269838,-0.012963368887645613,-0.0038021733699215776,0.010305064577611128,-0.013573952094691739,0.17529063806391385
Size,-0.18288146007993056,-0.003021685965445864,0.2525898943821441,-0.05928666800242978,0.00446759234859885,-0.0033070856768737237,-0.0680986217211723,1.0,-0.00497502345048472,-0.0012099516728432261,-0.0003855656260327077,0.0005930379491881145,-0.4556463093708727,-0.5288519709271298
Year,0.0029970230255986267,0.003687654754994673,-0.009287493411989268,0.06647589322172723,0.7803150558551303,0.07433460061807488,-0.23675413109269838,-0.00497502345048472,1.0,-0.1942882285364048,0.005835078032832209,-0.05674571655998797,-0.000732012489115903,0.005243787579060033
Month,0.001010585733931111,0.0008940710829146067,0.025577509135969508,0.23449935434231234,-0.042186161240841576,0.005130268214701764,-0.012963368887645613,-0.0012099516728432261,-0.1942882285364048,1.0,0.01636257586980261,0.12337579569481659,1.8516638451336206e-05,-9.169469201385374e-05
Day,-1.4756486034623402e-05,-0.0006644576717813757,-0.007981881532702378,0.025848220889284165,0.02801253613285617,0.0027014411462722627,-0.0038021733699215776,-0.0003855656260327077,0.005835078032832209,0.01636257586980261,1.0,0.04546547636692655,0.0005029719021729251,-9.8344918395605e-05
IsHoliday_True,-0.00054798800339438,0.0009057611129098073,0.007948441889952342,-0.15673015608350577,-0.07783904783502991,-0.0019340202618821042,0.010305064577611128,0.0005930379491881145,-0.05674571655998797,0.12337579569481659,0.04546547636692655,1.0,0.0001665544119489214,-0.001017333281254512
Type_B,-0.23346138503620356,-0.02991971041809211,-0.13470514323363747,-0.1077402615697392,0.03737217582264647,-0.08188305909120978,-0.013573952094691739,-0.4556463093708727,-0.000732012489115903,1.8516638451336206e-05,0.0005029719021729251,0.0001665544119489214,1.0,-0.2668484238156089
Type_C,0.4390041431180612,0.02834418033743535,-0.09905408461288266,0.1357092462020675,0.0013693936337125792,-0.006557060094873528,0.17529063806391385,-0.5288519709271298,0.005243787579060033,-9.169469201385374e-05,-9.8344918395605e-05,-0.001017333281254512,-0.2668484238156089,1.0
